Code,Company,Price,Change,Volume,Value,Captilisation
CNU,Chorus Limited (NS),$8.110,-$0.025 / -0.31%,"216","$1,751.52","$3,595,956,685"
IKE,ikeGPS Group Limited,$0.940,$0.020 / 2.17%,"3,002","$2,821.88","$150,147,840"
IFT,Infratil Limited,$8.600,-$0.050 / -0.58%,"13,434","$115,563.02","$6,226,258,805"
JLG,Just Life Group Limited,$0.400,$0.000 / 0.00%,"1","$0.40","$39,454,242"
SKL,Skellerup Holdings Limited,$5.360,$0.020 / 0.37%,"4,352","$23,365.80","$1,050,943,680"
VCT,Vector Limited (NS),$4.200,$0.030 / 0.72%,"27,168","$113,512.91","$4,200,000,000"
DIV,Smartshares NZ Dividend ETF,$1.219,$0.011 / 0.91%,"11,529","$14,053.85","$87,045,390"
SUM,Summerset Group Holdings Limited,$9.200,-$0.020 / -0.22%,"1,181","$10,873.99","$2,135,475,425"
FRE,Freightways Limited,$9.500,-$0.020 / -0.21%,"1,254","$11,912.37","$1,685,597,901"
RUA,Rua Bioscience Limited,$0.200,$0.000 / 0.00%,"12,088","$2,417.68","$31,603,853"
USS,Smartshares US Small Cap ETF,$5.727,$0.000 / 0.00%,"0","$0.00","$75,388,573"
TWH,Smartshares Total World (NZD Hedged) ETF,$2.880,$0.058 / 2.06%,"40,028","$115,280.67","$56,951,680"
SKC,SkyCity Entertainment Group Limited (NS),$2.560,$0.000 / 0.00%,"9,271","$23,733.76","$1,946,125,335"
BIT,The Bankers Investment Trust Plc,$1.940,$0.000 / 0.00%,"0","$0.00","$2,510,443,296"
NZK,New Zealand King Salmon Investments Limited,$0.215,$0.000 / 0.00%,"1,489","$320.14","$116,412,763"
JPN,Smartshares Japan Equities ESG ETF,$1.917,$0.000 / 0.00%,"86","$165.04","$23,137,883"
KPG,Kiwi Property Group Limited,$0.930,$0.000 / 0.00%,"135,125","$125,360.20","$1,461,189,540"
BOT,Smartshares Automation and Robotics ETF,$3.674,$0.014 / 0.38%,"692","$2,541.25","$45,413,914"
SML,Synlait Milk Limited (NS),$3.590,$0.020 / 0.56%,"133","$475.67","$784,708,163"
NZB,Smartshares NZ Bond ETF,$2.854,$0.000 / 0.00%,"310","$886.01","$331,455,218"
CDI,CDL Investments New Zealand Limited,$0.710,$0.000 / 0.00%,"8,589","$6,098.19","$205,053,465"
TWR,Tower Limited,$0.730,-$0.005 / -0.68%,"829","$604.62","$277,023,311"
MEE,Me Today Limited,$0.009,-$0.001 / -10.00%,"311,492","$2,803.42","$11,502,120"
MPG,Metro Performance Glass Limited,$0.185,$0.000 / 0.00%,"8,778","$1,623.90","$34,294,946"
ASP,Smartshares Australian Property ETF,$1.363,$0.000 / 0.00%,"110","$150.81","$52,199,535"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.165,$0.032 / 1.50%,"490","$1,060.86","$37,265,444"
BGI,Blackwell Global Holdings Limited,$0.004,$0.000 / 0.00%,"1,493","$5.97","$2,695,036"
FWL,Foley Wines Limited,$1.330,-$0.020 / -1.48%,"538","$715.54","$87,429,077"
GFI,Greenfern Industries Limited,$0.103,-$0.002 / -1.90%,"4,797","$503.10","$11,140,105"
MWE,Marlborough Wine Estates Group Limited,$0.157,-$0.003 / -1.88%,"4,002","$628.30","$46,621,796"
TGG,T&G Global Limited,$2.360,$0.000 / 0.00%,"209","$485.86","$289,201,961"
OCA,Oceania Healthcare Limited,$0.800,$0.000 / 0.00%,"27,808","$22,244.42","$576,444,148"
BGP,Briscoe Group Limited,$4.750,$0.010 / 0.21%,"186","$883.60","$1,057,566,534"
TWL,Trade Window Holdings Limited,$0.530,$0.010 / 1.92%,"36,181","$18,552.43","$53,426,491"
HLG,Hallenstein Glasson Holdings Limited,$5.350,$0.000 / 0.00%,"2,901","$15,520.39","$319,122,476"
AGL,Accordant Group Limited,$1.750,-$0.040 / -2.23%,"105","$183.75","$59,164,443"
NZL,New Zealand Rural Land Company Limited (NS),$1.060,$0.010 / 0.95%,"654","$692.87","$122,537,664"
WHS,The Warehouse Group Limited,$2.650,$0.010 / 0.38%,"7,980","$21,147.09","$919,134,268"
ACE,Ascension Capital Limited,$0.055,$0.000 / 0.00%,"0","$0.00","$1,053,186"
USG,Smartshares US Large Growth ETF,$6.515,$0.065 / 1.01%,"1,496","$9,734.60","$180,034,637"
TAH,Third Age Health Services Limited,$1.650,$0.000 / 0.00%,"56","$91.28","$16,506,846"
BLT,Blis Technologies Limited,$0.024,$0.000 / 0.00%,"3,945","$94.68","$30,571,238"
NZO,New Zealand Oil & Gas Limited,$0.415,$0.000 / 0.00%,"0","$0.00","$92,939,598"
RYM,Ryman Healthcare Limited,$5.550,$0.040 / 0.73%,"42,859","$237,989.80","$2,800,925,482"
ALF,Allied Farmers Limited,$0.780,$0.000 / 0.00%,"28","$21.56","$22,469,019"
NGB,Smartshares S&P/NZX NZ Government Bond ETF,$2.162,$0.000 / 0.00%,"159","$343.76","$270,469,285"
CMO,The Colonial Motor Company Limited,$9.300,-$0.050 / -0.53%,"463","$4,305.90","$304,060,078"
ARV,Arvida Group Limited,$1.150,$0.000 / 0.00%,"17,010","$19,571.60","$832,114,162"
CEN,Contact Energy Limited,$7.900,-$0.020 / -0.25%,"22,071","$174,634.23","$6,187,734,218"
BRW,Bremworth Limited,$0.460,$0.000 / 0.00%,"0","$0.00","$32,231,936"
PLP,Private Land and Property Fund,$1.290,$0.000 / 0.00%,"40","$52.40","$123,827,875"
TNZ,Smartshares NZ Top 10 ETF,$1.902,-$0.013 / -0.68%,"1,474","$2,804.69","$139,096,252"
MCK,Millennium & Copthorne Hotels New Zealand Limited,$1.860,$0.000 / 0.00%,"83","$152.72","$196,190,462"
ATM,The a2 Milk Company Limited,$7.500,$0.020 / 0.27%,"10,310","$77,236.84","$5,476,389,818"
AKL,Auckland Real Estate Trust,$0.930,$0.000 / 0.00%,"0","$0.00","$74,718,200"
MCKPA,Millennium & Copthorne Hotels New Zealand Limited,$1.710,$0.000 / 0.00%,"0","$0.00","$90,184,619"
GEO,Geo Limited,$0.050,$0.000 / 0.00%,"0","$0.00","$9,156,282"
PFI,Property for Industry Limited,$2.275,$0.000 / 0.00%,"451","$1,026.03","$1,142,164,942"
CRP,Chatham Rock Phosphate Limited,$0.280,$0.000 / 0.00%,"4,781","$1,338.68","$23,892,200"
AIA,Auckland International Airport Limited,$8.070,-$0.020 / -0.25%,"9,394","$75,738.55","$11,885,665,042"
LIC,Livestock Improvement Corporation Limited (NS),$1.250,$0.000 / 0.00%,"0","$0.00","$172,206,936"
APA,Smartshares Asia Pacific ETF,$2.062,-$0.002 / -0.10%,"7,894","$16,251.90","$124,412,267"
RAD,Radius Residential Care Limited,$0.290,$0.010 / 3.57%,"2,036","$590.40","$82,580,253"
BFG,Burger Fuel Group Limited,$0.285,$0.000 / 0.00%,"214","$61.00","$14,346,006"
AFI,Australian Foundation Investment Company Limited,$8.100,-$0.050 / -0.61%,"231","$1,871.88","$10,008,561,350"
MHM,MHM Automation Limited,$0.950,$0.000 / 0.00%,"161","$151.34","$63,050,614"
RBD,Restaurant Brands New Zealand Limited,$5.590,$0.040 / 0.72%,"2,485","$13,870.91","$697,400,144"
USM,Smartshares US Mid Cap ETF,$6.409,$0.000 / 0.00%,"27","$174.38","$86,987,723"
MDZ,Smartshares NZ Mid Cap ETF,$5.540,$0.000 / 0.00%,"974","$5,391.31","$168,087,334"
EVO,Embark Education Limited,$0.550,$0.000 / 0.00%,"0","$0.00","$87,752,216"
GXH,Green Cross Health Limited,$1.380,$0.000 / 0.00%,"1,183","$1,632.54","$197,732,466"
GEN,General Capital Limited,$0.067,$0.000 / 0.00%,"75","$5.03","$14,248,052"
VTL,Vital Limited,$0.295,$0.000 / 0.00%,"0","$0.00","$12,256,754"
NWF,NZ Windfarms Limited,$0.145,-$0.001 / -0.68%,"48,653","$7,054.73","$41,769,220"
AFT,AFT Pharmaceuticals Limited,$3.800,$0.000 / 0.00%,"3,116","$11,840.80","$398,491,788"
STU,Steel & Tube Holdings Limited,$1.290,$0.020 / 1.57%,"1,459","$1,882.03","$215,239,938"
BRM,Barramundi Limited,$0.690,-$0.030 / -4.17%,"10,785","$7,470.11","$187,731,502"
IPL,Investore Property Limited (NS),$1.510,$0.000 / 0.00%,"17","$25.84","$554,928,979"
PCT,Precinct Properties New Zealand Limited (NS),$1.290,$0.020 / 1.57%,"34,206","$44,125.74","$2,045,757,295"
MMH,Marsden Maritime Holdings Limited,$5.600,$0.000 / 0.00%,"0","$0.00","$231,283,646"
MFT,Mainfreight Limited,$66.760,$0.260 / 0.39%,"1,159","$77,142.20","$6,722,635,064"
MOV,Move Logistics Group Limited,$1.110,$0.000 / 0.00%,"9","$9.78","$129,187,493"
MHJ,Michael Hill International Limited,$1.110,$0.000 / 0.00%,"96","$109.44","$421,454,661"
FNZ,Smartshares NZ Top 50 ETF,$3.048,$0.014 / 0.46%,"19,262","$58,700.37","$658,490,475"
NZM,NZME Limited,$1.150,$0.000 / 0.00%,"9,147","$10,519.05","$211,500,656"
SPK,Spark New Zealand Limited,$5.285,-$0.015 / -0.28%,"6,370","$33,758.68","$9,899,671,819"
KMD,KMD Brands Limited,$1.020,-$0.010 / -0.97%,"8,503","$8,715.63","$725,574,676"
APL,Asset Plus Limited,$0.235,$0.000 / 0.00%,"88","$21.12","$85,238,683"
NPF,Smartshares NZ Property ETF,$1.154,$0.001 / 0.09%,"4,891","$5,649.22","$138,782,057"
CO2,Carbon Fund,$2.040,-$0.010 / -0.49%,"20,591","$42,007.00","$92,205,601"
TRU,TruScreen Group Limited,$0.035,-$0.001 / -2.78%,"158,805","$5,558.42","$12,700,319"
MLN,Marlin Global Limited,$0.940,-$0.020 / -2.08%,"5,508","$5,178.70","$191,384,720"
POT,Port of Tauranga Limited,$6.240,$0.000 / 0.00%,"4,620","$28,828.77","$4,245,470,686"
FSF,Fonterra Shareholders' Fund (NS),$3.280,$0.000 / 0.00%,"223","$731.45","$352,308,028"
ANZ,ANZ Group Holdings Limited,$25.820,$0.000 / 0.00%,"64","$1,650.96","$77,546,930,311"
OZY,Smartshares Australian Top 20 ETF,$4.381,-$0.009 / -0.21%,"1,911","$8,372.65","$167,272,131"
PHL,Promisia Healthcare Limited,$0.001,$0.000 / 0.00%,"2,000,000","$2,000.00","$21,284,975"
CBD,Cannasouth Limited,$0.285,$0.005 / 1.79%,"4,268","$1,216.40","$42,148,955"
GNE,Genesis Energy Limited (NS),$2.630,$0.025 / 0.96%,"7,685","$20,211.51","$2,780,841,738"
SCL,Scales Corporation Limited,$3.990,$0.040 / 1.01%,"3,784","$15,098.16","$569,460,253"
ASF,Smartshares Australian Financials ETF,$7.867,$0.025 / 0.32%,"726","$5,711.29","$24,706,062"
CVT,Comvita Limited,$3.350,$0.000 / 0.00%,"302","$1,011.70","$234,144,049"
ASD,Smartshares Australian Dividend ETF,$1.660,-$0.010 / -0.60%,"2,442","$4,052.12","$34,120,538"
MZY,Smartshares Australian Mid Cap ETF,$9.328,$0.027 / 0.29%,"244","$2,276.29","$162,608,252"
